Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
NO ET YUS - ARTISANS ARTS ET CRÉATEURS;;;;26 rue de Saillé;;44350;;GUERANDE;;44069;47.32669;-2.42944;;06 07 01 64 54;09 81 45 28 86;;contact@no-et-yus.fr;http://www.no-et-yus.fr/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||10:30||18:00||||||||||||||10:30||18:30||||||10:30||19:00||||||11:00||17:00||||;;;;;;;47.32669,-2.42944;Loire-Atlantique
MIEL DE LA PIÈCE DES BOIS;Produits apicoles;;;287 route de Baugé;Beaufort-en-Vallée;49250;;BEAUFORT-EN-ANJOU;;49021;47.463662;-0.179325;;06 73 18 38 04;02 41 68 29 59;;lapiecedesbois@outlook.fr;https://www.bienvenue-a-la-ferme.com/pays-de-la-loire/maine-et-loire/beaufort-en-vallee/ferme/la-piece-des-bois/588681;;;Facebook||https://www.facebook.com/mieldebeaufortenvallee;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;non;;;;;;;oui;;;;;;;;;;;Français;;;oui;01/01/2022||31/12/2022||Ouvert Sur rendez-vous toute l'année.||||||||||||||||||||17:00||19:00||||||||||||||17:00||19:00||||||17:00||19:00||||||||||||;;;;oui;Tarif indiv. adulte||5,00||||Visite commentée des ruches et de l'exploitation à la belle saison sur RDV;;47.463662,-0.179325;Maine-et-Loire
LE HARAS DE LA CÔTE;Cosmétique;;;3 La Championnerie;;44320;;SAINT-VIAUD;;44192;47.27625;-1.99957;;06 75 72 78 75;02 40 27 77 44;;j-michel.morantin@wanadoo.fr;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;;01/01/2021||31/12/2021||||||17:00||18:00||||||17:00||18:00||||||17:00||18:00||||||17:00||18:00||||||17:00||18:00||||||14:00||18:00||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.27625,-1.99957;Loire-Atlantique
DOMAINE GUIBERTEAU;;;;3, Impasse du Cabernet;;49260;;SAINT-JUST-SUR-DIVE;;49291;47.17342;-0.10031;;;02 41 38 78 94;02 41 38 56 46;domaine.guiberteau@wanadoo.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.17342,-0.10031;Maine-et-Loire
LA FERME DES 1001 CORNES;"Fromage et produit laitier;Viande";;;30 La Douettée;;44530;;GUENROUET;;44068;47.44874;-1.91364;;06 65 24 58 23;02 44 04 01 28;;fermedesmilleetunecornes@hotmail.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.44874,-1.91364;Loire-Atlantique
ÉPICERIE VRAC : DU VRAC EN BOCAL;Produits du terroir (boutique);;;36 Rue du Commerce;SAINT-PIERRE-MONTLIMART;49110;;MONTREVAULT-SUR-EVRE;;49218;47.2705898;-1.02894;;06 79 89 60 46;;;contact.dveb@gmail.com;;;;Facebook||https://www.facebook.com/Du-Vrac-en-Bocal-110057991168989/;;Agro-alimentaire;;;;;;;;;;non;;oui;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.2705898,-1.02894;Maine-et-Loire
MATHIEU CRÉATIONS;"Verre;Vitrail";;;4 rue de la Prévoté;intra-muros;44350;;GUERANDE;;44069;47.3276;-2.43039;;;06 73 94 03 00;;mathieucreations@free.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;oui;;;;;oui;;;;;;;;;;47.3276,-2.43039;Loire-Atlantique
PRODUCTEUR M. DENIAU;Fruits / légumes;;;4 rue des Magnolias;;49630;;LOIRE-AUTHION;;49307;47.4728253;-0.3402952;;;02 84 71 49 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4728253,-0.3402952;Maine-et-Loire
CHARCUTERIE LAURENT BERNIER;Viande;;;4 rue des Peupliers;ZA de Bel Air;44320;;CHAUVE;;44038;47.15221;-1.99252;;;02 40 21 12 02;02 40 64 72 39;contact@charcuterie-laurent-bernier.fr;http://www.charcuterie-laurent-bernier.fr;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||08:00||13:00||||||08:00||13:00||15:30||19:00||08:00||13:00||||||08:00||13:00||15:30||19:00||08:00||13:00||15:30||19:00||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.15221,-1.99252;Loire-Atlantique
ATELIER DE RELIURE BRIGITTE LE VU;;;;45 rue de Ker Sauvage;;44420;;MESQUER;;44097;47.40393;-2.49401;;06 87 76 36 91;02 40 42 61 43;;brigitte.le-vu@hotmail.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||A contacter préalablement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.40393,-2.49401;Loire-Atlantique
LÉGUMES GAUTHIER;Fruits / légumes;;;5 Lieu-dit Four à Chaux;;44270;;MACHECOUL-SAINT-MEME;;44087;46.98391;-1.83647;;;;;;;;;;;Agro-alimentaire;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;;46.98391,-1.83647;Loire-Atlantique
LES MARCHÉS LOCAUX;"Fruits / légumes;Pain / Pâtisserie;Poisson;Produits apicoles;Viande;Volailles / Oeufs";;;5, place Guépin;;44260;;SAVENAY;;44195;47.359814;-1.943206;;;02 28 01 60 16;;contact@estuairesillontourisme.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.359814,-1.943206;Loire-Atlantique
BISCUITERIE SAINT-GUÉNOLÉ;"Biscuit;Confiserie / chocolat;Pain / Pâtisserie";;;50 rue du Croisic;;44740;;LE CROISIC;;44049;47.27962;-2.48543;;;02 40 23 90 01;02 40 23 90 01;biscuitstguenole@wanadoo.fr;;;;;;;;;non;;;;;;;;;;;;;;oui;;;;;oui;;;01/10/2021||31/03/2022||||||08:30||12:30||14:00||18:30||08:30||12:30||14:00||18:30||08:30||12:30||14:00||18:30||08:30||12:30||14:00||18:30||08:30||12:30||14:00||18:30||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.27962,-2.48543;Loire-Atlantique
DOMAINE CHRISTOPHE MAILLARD;Vins;;;59, Le Pé de Sèvre;;44330;;LE PALLET;;44117;47.1416524;-1.3668227;;;02.40.80.44.92;;lacave@maillard-vigneron.com;www.maillard-vigneron.com;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1416524,-1.3668227;Loire-Atlantique
SYLVIE LEPELLETIER PASQUIER, PEINTRE;;;;6 rue du Manerick;;44740;;BATZ-SUR-MER;;44010;47.27125;-2.45893;;;06 78 92 38 08;;sylvielepelletierpasquier@gmail.com;http://www.sylvielepelletierpasquier.fr/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;oui;;;01/03/2022||31/12/2022||SUR RENDEZ-VOUS||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.27125,-2.45893;Loire-Atlantique
ATELIER TERRE SUR ARGANCE;"Art de la table;Céramique, faïence, émail";;;6 Rue Maréchal Leclerc;;49430;;DURTAL;;49127;47.6705801;-0.2434901;;;02 41 69 92 35;;;;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;oui;;;;oui;;non;;oui;01/01/2022||31/12/2022||Ouvert tous les jours.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Chèques bancaires et postaux;Espèces";47.6705801,-0.2434901;Maine-et-Loire
DÉLICIEUX INSTANTS;"Art de la table;Biscuit;Confiserie / chocolat;Epices / Condiment";;;7 bis Rue de la Maladrerie;Beaufort-en-Vallée;49250;;BEAUFORT-EN-ANJOU;;49021;47.4396662;-0.2149888;;;02 41 47 21 28;;contact@delicieux-instants.com;http://www.delicieux-instants.com;;;Facebook||https://www.facebook.com/DelicieuxInstants/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;Français;;;oui;01/01/2022||31/12/2022||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||12:30||14:00||19:00||||||||;||02 41 47 21 28||contact@delicieux-instants.com;;;oui;Tarif indiv. adulte||4,80||||tarif selon le produit acheté;Cartes bancaires;47.4396662,-0.2149888;Maine-et-Loire
BLANCHISSERIE DU MAINE;;;;7 Rue Cugnot;;53000;;LAVAL;;53130;48.0793712;-0.7506932;;;0243494526;;;;;;;;Industrie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0793712,-0.7506932;Mayenne
DOMAINE DE ROCFONTAINE;Vins;;;7, ruelle des Bideaux;;49730;;PARNAY;;49235;47.22604;0.01691;;06 09 28 33 83;02 41 51 46 89;;dvdchevallier@orange.fr;;;;;;Viticulture;Caves touristiques vignoble de Loire;;oui;;;;;Français;"Coteaux de Saumur;Saumur Blanc;Saumur Brut;Saumur Champigny;Saumur Rosé;Saumur Rouge";;;;;;;;;;;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.22604,0.01691;Maine-et-Loire
LES CARTES À CROQUER;Confiserie / chocolat;;;8 Av.enue de la Tour Carrée;;44250;;SAINT-BREVIN-LES-PINS;;44154;47.22935;-2.17447;;06 58 79 17 42;;;hello@lescartesacroquer.com;https://www.les-cartes-a-croquer.com/;;;;;Artisanat / Art;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;47.22935,-2.17447;Loire-Atlantique
BOULANGERIE MÉCHINAUD;"Brioche et viennoiserie;Confiserie / chocolat;Pain / Pâtisserie";;;8 Place de la Févrière;SAINT-FLORENT-LE-VIEIL;49410;;MAUGES-SUR-LOIRE;;49244;47.360712;-1.0165492;;;02 41 72 55 29;;;;;;"Facebook||https://fr-fr.facebook.com/pages/category/Shopping---Retail/Boulangerie-Mechinaud-1453614211620411/;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1944312-d8624597-Reviews-Boulangerie_Mechinaud-Saint_Florent_le_Vieil_Maine_et_Loire_Pays_de_la_Loire.html";;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;;;Partenariat||ORGPDL072V50DTVB;oui;01/01/2022||31/12/2022||||Fermé le mercredi ||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Boulangerie Méchinaud||02 41 72 55 29||;;;;;;47.360712,-1.0165492;Maine-et-Loire
ÉLEVAGE DES VALLÉES;"Elevage;Viande";;;8 rue Pierre Gardé;;44170;;TREFFIEUX;;44208;47.6212551;-1.5345083;;06 70 12 49 50;02 40 79 62 47;;;;;;Facebook||https://fr-fr.facebook.com/porcsdesvallees/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;oui;;;;oui;;;;;;;;;;;;47.6212551,-1.5345083;Loire-Atlantique
LES DÉLICES DE FLO;Confiture;;;8, rue de Montreuil;;49260;;LE PUY-NOTRE-DAME;;49253;47.1254;-0.22783;;06 71 39 56 51;02 41 52 27 54;;contact@lesdelicesdeflo.fr;http://www.lesdelicesdeflo.fr;;;Facebook||https://www.facebook.com/lesdelicesdeflo.fr;;Agro-alimentaire;;;;;;;;"Anglais;Français";;;;;;;;;;;;;"Français;Anglais";;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.1254,-0.22783;Maine-et-Loire
CHARCUTERIE COSME;Rillettes;;;88 Avenue Pierre Piffault;;72100;;LE MANS;;72181;47.95915;0.18613;;;02 43 85 75 15;;contact@charcuterie-cosme.com;https://www.charcuterie-cosme.com/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.95915,0.18613;Sarthe
MICROBRASSERIE BREWEN;Produits du terroir (boutique);;;9 Chemin des Pinluettes;;44250;;SAINT-BREVIN-LES-PINS;;44154;47.24124;-2.15241;;07 50 50 63 09;;;mb.brewen@gmail.com;https://brewen.fr/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.24124,-2.15241;Loire-Atlantique
DOMAINE DU CLOS DE LA GAUBRETIERE;Vins;;;9 rue de la Gaubretière;;49540;;TERRANJOU;;49086;47.2347958;-0.4269381;;;02 41 59 48 75;;contact@domaineduclosdelagaubretiere.com;http://www.domaineduclosdelagaubretiere.com;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2347958,-0.4269381;Maine-et-Loire
VINAIGRES DE LA FORGE;;;;9 Rue des Moulins;;53640;;LE HORPS;;53116;48.39694;-0.459692;;06 09 73 06 43;02 43 04 72 57;;contact@vinaigresdelaforge.fr;https://www.vinaigresdelaforge.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.39694,-0.459692;Mayenne
DOMAINE DU BUISSON;Vins;;;9 Zone d'Activité de Rigal;LA CHAPELLE-SAINT-FLORENT;49410;;MAUGES-SUR-LOIRE;;49244;47.3304056;-1.0568722;;06 45 48 79 85;02 41 72 73 91;;domaine.du.buisson@orange.fr;https://domaine-du-buisson.com;;;"Facebook||https://www.facebook.com/EARL-Domaine-Du-Buisson-108202983847788;Instagram||https://www.instagram.com/domainedubuisson";;Viticulture;;;;;;;;Français;"Cabernet d'Anjou;Coteaux d'Ancenis;Muscadet Coteaux de la Loire;Rosé d'Anjou;Rosé de Loire";non;;;;;;;;;;;Français;;;oui;;;;;non;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3304056,-1.0568722;Maine-et-Loire
DOMAINE BRUNO DUBOIS;Vins;;;98 rue de la Paleine;;49260;;BELLEVIGNE-LES-CHATEAUX;;49060;47.1929162;-0.0606848;;06 07 70 95 20;;;b-d@bruno-dubois.com;http://www.bruno-dubois.com/;;;;;Viticulture;;;;;;;;;"Saumur Blanc;Saumur Champigny";;;;;;;;;;;;;;;;;;;;;;"Chèques bancaires et postaux;Espèces";47.1929162,-0.0606848;Maine-et-Loire
MARCHÉ DE L'OCÉAN;;;;Avenue du Président Roosevelt;;44250;;SAINT-BREVIN-LES-PINS;;44154;47.2286;-2.17355;;;02 40 64 44 44;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;01/02/2022||31/12/2030||Tous les samedis matins||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.2286,-2.17355;Loire-Atlantique
VANESSA LELANT;;;;bleuben;;44530;;GUENROUET;;44068;47.55138;-2.00829;;;02 40 87 42 21;;vanessa.lelant@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.55138,-2.00829;Loire-Atlantique
LES JARDINS DE BRIÈRE;"Confiserie / chocolat;Fruits / légumes;Produits du terroir (boutique)";;;Bovieux;;44780;;MISSILLAC;;44098;47.48361;-2.18862;;;02 40 88 30 61;;laure.louault@jardinsdebriere.com;http://www.jardinsdebriere.com;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.48361,-2.18862;Loire-Atlantique
DOMAINE SAINT-VINCENT;;;;Chemin de Tyreau;;49400;;SAUMUR;;49328;47.24485;-0.04698;;;02 41 67 43 19;02 41 50 23 28;p.vade@st-vincent.com;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.24485,-0.04698;Maine-et-Loire
LA FERME DES ÎLES MORICE;;;;Ferme de L'isle de la Croix;Kerhudal;44350;;SAINT-MOLF;;44183;47.39294;-2.42246;;06 07 04 02 38;06 75 49 66 14;;lafermedesilesmorice@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.39294,-2.42246;Loire-Atlantique
DOMAINE GODEAU;Vins;;;l'Orée;;49750;;BEAULIEU-SUR-LAYON;;49022;47.3141394;-0.5883716;;;02 41 78 41 64;;domainegodeau49@yahoo.fr;;;;;;Viticulture;;;oui;;;;;Anglais;"Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé de Loire";oui;oui;oui;;;;;;;;;"Français;Anglais";;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3141394,-0.5883716;Maine-et-Loire
LA CUEILLETTE DE L'ILE;Fruits / légumes;;;l'île;;44260;;SAVENAY;;44195;47.343936;-1.948935;;;02 28 02 16 09;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;||02 28 02 16 09||contact@cueillette-de-lile.fr;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.343936,-1.948935;Loire-Atlantique
BOULANGERIE À L'ANCIENNE LA PATTE DU TALEMELIER;"Brioche et viennoiserie;Pain / Pâtisserie";;;La Basse Vannerie;Saint Pierre-sur-Orthe;53160;;VIMARTIN-SUR-ORTHE;;53249;48.2676499;-0.2051703;;07 67 52 91 18;;;talemelier@hotmail.com;;;;Facebook||https://www.facebook.com/thomas.talemelier/;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;Français;;;non;oui;;;;;;;;;;;;oui;||||Sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;48.2676499,-0.2051703;Mayenne
FERME DE LA CLAIE, MARAÎCHAGE, VENTE DIRECTE ET CUEILLETTE;Fruits / légumes;;;La Claie;Marigné;49330;;LES HAUTS-D'ANJOU;;49080;47.7144649;-0.6071503;;06 85 71 37 02;;;lafermedelaclaie@gmail.com;;;;Facebook||https://www.facebook.com/LaFermedelaClaie;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;Jérôme GOUY||06 85 71 37 02||lafermedelaclaie@gmail.com;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.7144649,-0.6071503;Maine-et-Loire
LA TIGE LOCALE;Plantes et fleurs;;;La Cuilleraie;;53100;;CHATILLON-SUR-COLMONT;;53064;48.3231356;-0.7845809;;06 06 43 27 60;;;latigelocale@hotmail.com;https://latigelocale.com/;;;"Facebook||https://www.facebook.com/LaTigeLocale/;Instagram||https://www.instagram.com/la_tige_locale/";;Agriculture / horticulture / Pêche;;;non;;;;;;;;;oui;;;non;non;non;non;non;non;"Français;Anglais";non;;oui;01/01/2022||31/12/2022||Sur rendez-vous uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";48.3231356,-0.7845809;Mayenne
EARL JACQUET - LES CERFS DE LA FARDELLIÈRE;"Rillettes;Viande";;;La Fardelliere;VALANJOU;49120;;CHEMILLE-EN-ANJOU;;49092;47.198526;-0.596224;;06 18 33 89 41;02 41 45 41 01;Partenaire Ôsez Mauges 2022;lescerfsdelafardelliere@yahoo.fr;https://lescerfsdelafardelliere.fr/;;;Facebook||https://fr-fr.facebook.com/lescerfsdelafardelliere/;;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;non;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.198526,-0.596224;Maine-et-Loire
LA MAISON DE LA POMME;Fruits / légumes;;;La Foresterie;;44120;;VERTOU;;44215;47.1792865;-1.4622652;;06 88 78 04 33;;;lamaisondelapomme@orange.fr;www.lamaisondelapomme.fr;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1792865,-1.4622652;Loire-Atlantique
BELLE MISS'TERRE - LA FERME DU PIS QUI CHANTE;Fromage et produit laitier;;;La Frimardière;LE PIN-EN-MAUGES;49110;;BEAUPREAU-EN-MAUGES;;49023;47.2583378;-0.866886;;;02 41 75 88 67;;;;;;Facebook||https://www.facebook.com/pg/Belle-MissTerre-106392874083354/posts/?ref=page_internal;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2583378,-0.866886;Maine-et-Loire
DOMAINE DE LA HOUSSAIS;Vins;;;La Houssais;;44430;;LE LANDREAU;;44079;47.1958168;-1.3519363;;;02 40 06 46 27;;domainedelahoussais@orange.fr;http://www.domainedelahoussais.com/;;;;;Viticulture;Caves touristiques vignoble de Loire;;;;;;;"Anglais;Français";"Gros Plant du Pays Nantais;Muscadet;Muscadet Sèvre-et-Maine";oui;;oui;;;oui;oui;oui;;oui;oui;"Français;Anglais";oui;;oui;||||||||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.1958168,-1.3519363;Loire-Atlantique
LA FERME DE TOM;Viande;;;la Noe;;53110;;LASSAY-LES-CHATEAUX;;53127;48.434001;-0.567067;;;02.44.29.12.21;;lafermedetom@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;non;oui;;;;;;;;;;;"Proposition clientèle||HLOPDL053V5019DA;Proposition clientèle||FMAPDL053V502J0A;Proposition clientèle||FMAPDL053V502NMG";;;;;;;;;48.434001,-0.567067;Mayenne
DOMAINE DU CLOS FRÉMUR;;;;La Piquellerie;;49130;SAINTE-GEMMES-SUR-LOIRE;SAINTE-GEMMES-SUR-LOIRE;;49278;47.43938;-0.57825;;;06 68 15 49 46;;anthony@leclosfremur.fr;http://www.leclosfremur.fr;;;;;;Agriculture Biologique (AB);;;;;;;"Anglais;Espagnol;Français";;;;;;;;;;;;;;;;;"01/01/2019||31/12/2019||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;;"Chèques bancaires et postaux;Espèces";47.43938,-0.57825;Maine-et-Loire
LES VERGERS DES BRUÈRES;"Fruits / légumes;Volailles / Oeufs";;;La Trichonnière;;53800;;LA SELLE-CRAONNAISE;;53258;47.84964;-1.0494569;;06 85 30 96 87;;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.84964,-1.0494569;Mayenne
FERME DE LA VINAUDAIS;"Confiture;Fruits / légumes;Pain / Pâtisserie;Produits apicoles";;;La Vinaudais;;44320;;SAINT-PERE-EN-RETZ;;44187;47.26648;-2.03154;;06 73 95 77 31;06 38 02 38 99;;j.blomqvist@yahoo.fr;http://www.potagerbioderetz.com/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||;;;;;;;47.26648,-2.03154;Loire-Atlantique
GAEC LANDREAU;Fruits / légumes;;;Le Bordage;SAINT-MACAIRE-EN-MAUGES;49230;;SEVREMOINE;;49301;47.1232934;-1.0100989;;02 41 55 31 51;;;gaec-landreau@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.1232934,-1.0100989;Maine-et-Loire
L'ABEILLE D'AULAINES;Produits apicoles;;;Le Gué d'Aulaines;;72110;;BONNETABLE;;72039;48.1831641;0.4467344;;;;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1831641,0.4467344;Sarthe
LA FERME DU MAGASIN;Viande;;;Le Magasin;;44480;;DONGES;;44052;47.3762;-2.09746;;06 79 89 71 96;02 40 01 35 71;;gaec-du-magasin@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux;47.3762,-2.09746;Loire-Atlantique
BRASSERIE DE L'ARBORESCENCE;Bières;;;Le Petit Bois;;53100;;SAINT-GEORGES-BUTTAVENT;;53219;48.311337;-0.72993;;06 12 08 49 63;;;tchin@brasserie-arborescence.com;https://brasserie-arborescence.com/;;;Facebook||https://www.facebook.com/Brasserie-de-lArborescence-108601157527418/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;48.311337,-0.72993;Mayenne
LES DÉLICES DU PETIT GUÉ;Produits du terroir (boutique);;;Le Petit Gué au Vé;;44320;;FROSSAY;;44061;47.21231;-1.91928;;06 62 17 14 58;;;berangere.pion@wanadoo.fr;http://lesdelicesdupetitgue.wixsite.com/lesdelicesdupetitgue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2019||31/12/2019||||||||||||||17:00||19:00||||||17:00||19:00||||||17:00||19:00||||||17:00||19:00||||||17:00||19:00||||||||||||;;;;;;;47.21231,-1.91928;Loire-Atlantique
DOMAINE DU HAUT PRESSOIR;Vins;;;Le Pré;Rablay;49750;;BELLEVIGNE-EN-LAYON;;49345;47.275551;-0.5856119;;;02 41 78 30 07;02 41 78 50 80;sebastien-noiret@orange.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.275551,-0.5856119;Maine-et-Loire
GAEC DEBOSQUE VENTE DE VIANDE AOP MAINE-ANJOU;Viande;;;Les Bâtes;;72240;;RUILLE-EN-CHAMPAGNE;;72261;48.060586;-0.081397;;06 89 47 40 62;02 43 88 22 18;;gaecdebosque@orange.fr;;;;Facebook||https://www.facebook.com/gaecdebosque/;;Agro-alimentaire;;;;;;;;Français;;;;oui;;;;;;;;;Français;;;oui;;||02 43 88 22 18||gaecdebosque@orange.fr;;;;;Chèques bancaires et postaux;48.060586,-0.081397;Sarthe
LA FERME ECO'TERRE;Fruits / légumes;;;Les Ecotais;;49140;;JARZE VILLAGES;;49163;47.5558707;-0.2329494;;;;;lafermeecoterre@outlook.fr;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;oui;;;;;"Anglais;Français";;oui;;oui;;;;;;;;;"Français;Anglais";;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.5558707,-0.2329494;Maine-et-Loire
