Nom de l'offre touristique;Catégorie de l'offre;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse2;Adresse3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;Widget tripadvisor;Equipements;Labels;Chaînes;Classement dans un label;CLassement pour le label Logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Nombre chambres;Nombre chambres familiales;Nombre chambres pour accès à mobilité réduite;Groupe accepté: oui / non;Langues parlées à l'accueil;Présence salle de réunion: oui / non;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarifs;Modes de paiement acceptés;localisation;departement
CHÂTEAU DE BRIANÇON;3 étoiles;Hôtel;;;846 route de Briançon;Bauné;49140;LOIRE-AUTHION;;49307;47.50622;-0.35147;;;02 41 66 11 80;;;http://www.chateau-de-briancon.fr;;;;;WiFi;UNAT;;;;;;;non;;14;;2;;"Anglais;Français";oui;;;"01/01/2020||15/03/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;02/06/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.50622,-0.35147;Maine-et-Loire
HÔTEL IBIS ANGERS CENTRE CHÂTEAU;3 étoiles;Hôtel;;;Rue de la Poissonnerie;;49100;ANGERS;;49007;47.47286;-0.55617;;;02 41 86 15 15;02 41 87 10 41;;https://all.accor.com/hotel/0848/index.fr.shtml;;Facebook||http://www.facebook.com/pages/ibis-Angers-Centre/256244367772204;;;"Climatisation;Restaurant;WiFi";;Ibis;;;;oui;5€;non;;95;;3;;"Anglais;Espagnol;Français";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.47286,-0.55617;Maine-et-Loire
HÔTEL CHÂTEAU LE GRAND LUCÉ;Non classé;Hôtel;;;9 Place de la République;;72150;LE GRAND-LUCE;;72143;47.864914;0.469872;;;02 55 48 40 40;;;https://chateaugrandluce.com;;;;;"Climatisation;Espace bien-être;Garage privé;Parking privé;Piscine couverte;Restaurant;Salle de sport;Tennis;WiFi";;;;;;;;non;;12;2;;;;;;oui;;||06 37 07 15 28||hello@chateaugrandluce.com;;;;;47.864914,0.469872;Sarthe
BEST WESTERN HOTEL NUIT DE RETZ;4 étoiles;Hôtel - Restaurant;;;Rue du Grand Pré;Zone de Loisirs;44710;PORT-SAINT-PERE;;44133;47.13127;-1.74262;;;02 40 57 91 14;;;http://www.auberge-pays-retz.fr;;;;;"Climatisation;Espace bien-être;Parking privé;Piscine;Restaurant;WiFi";;Best Western;;;"Déficience auditive;Déficience mentale;Déficience moteur;Déficience visuelle";non;;oui;;43;6;2;;"Allemand;Anglais;Italien";oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||69,00||130,00||;Petit-déjeuner / pers||14,00||14,00||;Taxe de séjour / nuit / pers||2,10||2,10||";"Cartes bancaires;Chèques Vacances;Espèces";47.13127,-1.74262;Loire-Atlantique
BEST WESTERN ADAGIO;3 étoiles;Hôtel;;;94, avenue du Général de Gaulle;;49400;SAUMUR;;49328;47.26523;-0.072;;;02 41 67 45 30;02 41 67 74 59;;http://www.hoteladagio.com;;"Tripadvisor||;Facebook||https://www.facebook.com/BestWesternAdagioSaumur/";;;"Climatisation;Garage privé;Local vélo;WiFi";"Accueil Vélo;La Loire à vélo;Qualité Tourisme";Best Western;;;;oui;8 €;non;"EV6-La Loire à Vélo;V44-De Loir en Loire;Vélo Francette - Loire à Vélo";39;4;2;;"Allemand;Anglais;Français";oui;;;03/01/2022||18/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://resa.ot-saumur.fr/reserver/hotel/zsadagio.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Chambre double||76,00||116,00||;Petit-déjeuner / pers||7,00||10,00||;Chambre single||67,00||97,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.26523,-0.072;Maine-et-Loire
CAMPANILE;3 étoiles;Hôtel;;;Square de la Nouvelle France - Parc du Carteron;;49300;CHOLET;;49099;47.04942;-0.87099;;;02 41 62 86 79;02 41 71 29 23;;http://www.campanile-cholet.com;;Tripadvisor||;;"<div id=""TA_selfserveprop264"" class=""TA_selfserveprop"">;<ul id=""cFPudcyBGBe"" class=""TA_links 68FTGz"">;<li id=""2bDhQDHl9rYi"" class=""8Sb5tUdes"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=264&amp;locationId=287205&amp;lang=fr&amp;rating=true&amp;nreviews=2&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=true&amp;border=false""></script>";"Climatisation;WiFi";;Campanile;;;;oui;;non;;40;;2;;"Anglais;Espagnol;Français";oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.04942,-0.87099;Maine-et-Loire
DOMAINE DE PAN;4 étoiles;Hôtel;;;Le Nézil;;44410;SAINT-LYPHARD;;44175;47.37165;-2.32523;;;02 53 35 50 30;;;https://astonomia.com/domaine-de-pan/;;;;;WiFi;;;;;;;;;;;;;;Anglais;oui;;;01/04/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||120,00||170,00||;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.37165,-2.32523;Loire-Atlantique
LA CONCORDE;3 étoiles;Hôtel;;;1 bis avenue de La Concorde;;44500;LA BAULE-ESCOUBLAC;;44055;47.28214;-2.40017;;;02 40 60 23 09;02 40 42 72 14;;http://www.hotel-la-concorde.com;;;;;"Garage privé;Parking privé;WiFi";;;;;;non;;;;47;;;oui;"Allemand;Anglais";;oui;;08/04/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.28214,-2.40017;Loire-Atlantique
HÔTEL LES VIKINGS;Non classé;Hôtel - Restaurant;;;Plage de Port Lin;;44490;LE CROISIC;;44049;47.28616;-2.51862;;;02 40 62 79 05;02 40 23 28 03;;http://www.hotel-les-vikings.com;;;;;"Climatisation;Garage privé;Restaurant;WiFi";;;;;;oui;Supplément de 8 € par animal et par jour.;;;24;;;;Anglais;oui;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28616,-2.51862;Loire-Atlantique
HOTEL LE RELAIS GLAINOIS;Non classé;Hôtel - Restaurant;;;1 rue du Flavier;;44670;LA CHAPELLE-GLAIN;;44031;47.6233716;-1.1976627;;;02 40 55 50 42;;;www.lerelais-glainois.com;;;;;"Parking privé;Restaurant;WiFi";;;;;;non;;non;;6;;;oui;Anglais;oui;;oui;||||||fermé mercredi midi et soir, vendredi soir et dimanche soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||68,00||99,00||;Petit-déjeuner / pers||8,90||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.6233716,-1.1976627;Loire-Atlantique
HÔTEL PREMIÈRE CLASSE - ANGERS EST;Non classé;Hôtel;;;rue du Chêne Vert;;49124;SAINT-BARTHELEMY-D'ANJOU;;49267;47.4711;-0.51373;;;08 91 70 51 61;02 41 34 02 25;;;;;;;WiFi;;Première Classe;;;;;;non;;64;;3;;"Anglais;Français";;;;"01/01/2020||15/03/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;11/05/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Chambre double||34,00||44,00||;Taxe de séjour / nuit / pers||0,40||||;Petit-déjeuner / pers||5,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.4711,-0.51373;Maine-et-Loire
HÔTEL RESTAURANT LA BARQUE;2 étoiles;Hôtel - Restaurant;;;10 Place de la Libération;;72170;BEAUMONT-SUR-SARTHE;;72029;48.2262539;0.12839946;;;02 43 97 00 16;02 43 97 03 74;;http://www.hotelrestaurantlemans.com;;Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g1236790-d677099-Reviews-Logis_de_la_Barque-Beaumont_sur_Sarthe_Sarthe_Pays_de_la_Loire.html;;;"Garage privé;Restaurant;WiFi";"Accueil Vélo;Qualité Tourisme;Welcome ! C’est beau ici !";"Contact hôtel;Logis";;"2 cheminées;2 cocottes";;oui;5€ en chambre;non;"Sarthe à Vélo;V44-De Loir en Loire";23;5;0;oui;"Anglais;Français";non;non;oui;01/11/2021||31/12/2022||Ouvert du lundi au vendredi midi, de 7h à 15h et de 17h30 à 22h||Fermé vendredi soir, samedi et dimanche.||||||||||||||||||||||||||||||||||||||||||||||||||||||||;VINCENT||02 43 97 00 16||labarque@wanadoo.fr;||http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=78370018988c3bbf4f880a24c7eac1d03430&hotelid=863||||||;oui;"Chambre double||68,00||95,00||;Chambre familiale||80,00||125,00||;Chambre single||65,00||90,00||;Petit-déjeuner / pers||9,00||||;Pension complète / pers||84,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant;Virement";48.2262539,0.12839946;Sarthe
ACE HÔTEL ANGERS;3 étoiles;Hôtel;;;Rue du Paon;;49124;SAINT-BARTHELEMY-D'ANJOU;;49267;47.48409;-0.50157;;;02 41 35 20 70;;;http://www.ace-hotel-angers.fr/;;;;;"Climatisation;WiFi";;;;;;oui;6€;;;60;;;;"Anglais;Espagnol;Français";;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Espèces";47.48409,-0.50157;Maine-et-Loire
HÔTEL MARIN;2 étoiles;Hôtel;;;102 avenue Robert Buron;;53000;LAVAL;;53130;48.0755336;-0.7611097;;;02.43.53.09.68;;;http://www.marin-hotel.fr;https://www.youtube.com/watch?v=xWlAQb3JZVE&t=3s;"Facebook||https://www.facebook.com/hotelmarinlaval/;Instagram||https://www.instagram.com/hotelmarin_laval/?hl=fr";;;WiFi;"Qualité Tourisme;Tables et Auberges de France - Auberges de Village";Contact hôtel;;;;non;;non;;26;;1;oui;"Anglais;Français";non;non;oui;;;||http://contacthotel.reservit.com/front6533/front.do?m=booking&custid=171&langcode=FR&hotelid=6533&specialMode=default||||||;oui;Chambre single||69,00||120,00||• Pour une personne seulement;Cartes bancaires;48.0755336,-0.7611097;Mayenne
HOTEL RESTAURANT LES VOYAGEURS;Non classé;Hôtel - Restaurant;;;Voie Communale Chardavoine;Beaufort en Vallée;49250;BEAUFORT-EN-ANJOU;;49021;47.4394811;-0.2124812;;;02 41 57 24 00;;;;;Facebook||https://www.facebook.com/profile.php?id=100057708278004;;;;;;;;;;;non;;5;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||49,00||||;;47.4394811,-0.2124812;Maine-et-Loire
HÔTEL AUBERGE DE LA ROSE;3 étoiles;Hôtel - Restaurant;;;12 Place de Gennes;Doué-la-Fontaine;49700;DOUÉ-EN-ANJOU;;49125;47.197221;-0.274743;;;02 41 59 13 65;02 41 59 38 83;;https://www.aubergedelarose.com;;"Facebook||https://www.facebook.com/pages/category/Inn/Auberge-De-La-Rose-105804457831840/;Google+||https://maps.google.com/?cid=8874935938656366930;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g608799-d2294752-Reviews-Hotel_Restaurant_Auberge_de_la_Rose-Doue_la_Fontaine_Maine_et_Loire_Pays_de_la_Loire.html";;;"Climatisation;Garage privé;Local vélo;Parking privé;Restaurant;WiFi";Qualité Tourisme;Logis;;Hôtel Cosy;;oui;5€;non;;15;0;;oui;"Anglais;Français";oui;;;"01/01/2022||31/12/2022||Lundi, Mardi, Jeudi, Vendredi : 07h30 à 22h;Mercredi : 07h30 à 22h15;Samedi, Dimanche : 08h à 22h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||https://resa.ot-saumur.fr/reserver/hotel/zsaubrose.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Chambre double||68,00||71,00||;Petit-déjeuner / pers||9,00||10,50||;Taxe de séjour / nuit / pers||1,20||1,20||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.197221,-0.274743;Maine-et-Loire
FASTHÔTEL;2 étoiles;Hôtel;Rue du Docteur Paul Mer;;;;53000;LAVAL;;53130;48.0788749;-0.797273;;;02.43.68.30.30;;;http://www.fasthotel.com/pays-de-la-loire/hotel-laval;;;;;WiFi;;Fasthôtel;;;;non;;non;;46;;;;Anglais;;;oui;;;;;;;48.0788749,-0.797273;Mayenne
LA BRISE DE MER;En cours de classement;Hôtel - Restaurant;;;12 rue de l'Atlantique;;44740;BATZ-SUR-MER;;44010;47.27579;-2.48542;;;02 40 23 79 29;;;http://www.hotelbrisedemer.fr;;;;;"Parking privé;Restaurant";;;;;;oui;;;;6;;;oui;Anglais;;;;;;;;;"Cartes bancaires;Espèces;Tickets Restaurant";47.27579,-2.48542;Loire-Atlantique
HOTELF1 LAVAL;Non classé;Hôtel;ZI DES TOUCHES;;69 boulevard Buffon;;53810;CHANGE;;53054;48.0896532;-0.7473688;;;08.91.70.52.66;02.43.53.74.80;;https://all.accor.com/hotel/2233/index.fr.shtml;;;;;WiFi;;Formule 1;;;;oui;;non;;46;;;;"Anglais;Espagnol";;;oui;;;||https://all.accor.com/hotel/2233/index.fr.shtml||||||;oui;;;48.0896532,-0.7473688;Mayenne
LUTÉTIA & SPA;3 étoiles;Hôtel;;;13 avenue Olivier Guichard;;44500;LA BAULE-ESCOUBLAC;;44055;47.28358;-2.39432;;;02 40 60 25 81;02 40 42 73 52;;http://www.lutetia-labaule.com;;;;;"Climatisation;Espace bien-être;Parking privé;WiFi";;;;;;oui;uniquement à l'hôtel;;;25;;;oui;Anglais;oui;oui;;04/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||79,00||250,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28358,-2.39432;Loire-Atlantique
AU FIN GOURMET;2 étoiles;Hôtel;;;1 place du Pilori;;44490;LE CROISIC;;44049;47.29383;-2.51089;;;02 40 23 00 38;;;http://www.fingourmetcroisic.com;;;;;WiFi;;;;;;non;;;;9;;;oui;"Anglais;Espagnol;Italien";;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Virement";47.29383,-2.51089;Loire-Atlantique
HÔTEL DU PARC SAUMUR;3 étoiles;Hôtel - Restaurant;;;169 avenue des Fusillés;Saint-Lambert-des-Levées;49400;SAUMUR;;49328;47.281563;-0.054135;;;02 41 67 17 18;02 41 67 18 85;;https://hotelduparc.fr;;"Tripadvisor||;Google+||https://maps.google.com/?cid=10012812521893415031";;;"Climatisation;Local vélo;Parking privé;Piscine;Restaurant;WiFi";"Écolabel Européen;Qualité Tourisme";Logis;;Hôtel Elégance;;oui;11 €;non;"EV6-La Loire à Vélo;V44-De Loir en Loire;Vélo Francette - Loire à Vélo";41;8;2;oui;"Anglais;Français";oui;;;10/01/2022||16/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche : ouvert||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://resa.ot-saumur.fr/reserver/hotel/zshotelpar.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Chambre double||75,00||129,00||;Petit-déjeuner / pers||12,90||12,90||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.281563,-0.054135;Maine-et-Loire
HÔTEL PREMIÈRE CLASSE;1 étoile;Hôtel;;;161 rue de l'Oreau;ZAC Ecoparc - Saint-Lambert-des-Levées;49400;SAUMUR;;49328;47.27927;-0.06949;;;02 41 38 00 66;;;https://www.premiereclasse.com/fr-fr/;;Google+||https://maps.google.com/?cid=16388466872158728354;;;"Parking privé;WiFi";;;;;;oui;5 €;non;;70;3;3;oui;"Anglais;Français";;oui;oui;"01/01/2022||31/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi : 06h30 à 11h, 17h à 21h;Samedi, Dimanche : 07h à 11h, 17h à 21h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||https://resa.ot-saumur.fr/reserver/hotel/zs1classe.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Chambre double||45,00||75,00||;Petit-déjeuner / pers||5,90||5,90||;Taxe de séjour / nuit / pers||0,80||0,80||";"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.27927,-0.06949;Maine-et-Loire
GRAND HÔTEL NEPTUNE;2 étoiles;Hôtel - Restaurant;;;17 quai Jules Sandeau;;44510;LE POULIGUEN;;44135;47.27692;-2.42793;;;02 40 42 30 99;02 40 62 20 66;;http://perso.orange.fr/grandhotelneptune;;;;;Restaurant;;;;;;non;;;;22;;;oui;Anglais;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.27692,-2.42793;Loire-Atlantique
LA CLOSERIE;4 étoiles;Hôtel;;;173 avenue de Lattre de Tassigny;;44500;LA BAULE-ESCOUBLAC;;44055;47.28425;-2.40347;;;02 51 75 17 00;02 51 75 17 19;;http://www.hotel-la-closerie.com;;;;;"Climatisation;Parking privé;WiFi";;;;;;oui;;;;15;;;oui;Anglais;oui;oui;;02/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28425,-2.40347;Loire-Atlantique
CASA COSY;2 étoiles;Hôtel;;;2 Rue du Croisic;;44510;LE POULIGUEN;;44135;47.27868;-2.43069;;;02 40 42 30 65;;;http://www.casacosy.fr;;;;;WiFi;;;;;;non;;;;8;;;oui;Anglais;;;;01/01/2022||31/12/2022||||||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00||08:00||21:00;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.27868,-2.43069;Loire-Atlantique
LE CHRISTINA;En cours de classement;Hôtel;;;26 boulevard Hennecart;;44500;LA BAULE-ESCOUBLAC;;44055;47.28182;-2.39036;;;02 40 60 22 44;02 40 11 04 31;;https://www.hotel-le-christina.com;;;;;"Parking privé;WiFi";;;;;;oui;animaux admis sans supplément;;;38;;;oui;"Anglais;Espagnol";oui;;;02/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||80,00||158,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28182,-2.39036;Loire-Atlantique
HOTEL L'AUBERGE BRETONNE;3 étoiles;Hôtel - Restaurant;;;23 place de la Motte;;44110;CHATEAUBRIANT;;44036;47.7179777;-1.3783476;;;02 40 81 03 05;;;http://www.aubergebretonne.com;;;;;"Restaurant;WiFi";;;;;;oui;;non;;8;;;oui;Anglais;oui;;oui;;;;;"Chambre double||68,00||140,00||;Petit-déjeuner / pers||12,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.7179777,-1.3783476;Loire-Atlantique
LES DUNES;3 étoiles;Hôtel;;;277 avenue de Lattre de Tassigny;;44500;LA BAULE-ESCOUBLAC;;44055;47.28635;-2.39442;;;02 51 75 07 10;02 51 75 07 11;;http://www.hotel-des-dunes.com;;;;;"Climatisation;Parking privé;WiFi";Qualité Tourisme;;;;;non;;;;32;;;oui;"Allemand;Anglais;Espagnol";oui;oui;;01/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||70,00||140,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28635,-2.39442;Loire-Atlantique
TY GWENN;3 étoiles;Hôtel;;;25 avenue de la Grande Dune;;44500;LA BAULE-ESCOUBLAC;;44055;47.28005;-2.3684;;;02 40 60 37 07;02 40 11 08 43;;https://www.hotel-tygwenn.fr;;;;;WiFi;Qualité Tourisme;;;;;non;;;;14;;;oui;Anglais;;;;15/03/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.28005,-2.3684;Loire-Atlantique
HOTEL LE PETIT PERIER;3 étoiles;Hôtel - Restaurant;;;4 PLACE DU GAST;;53000;LAVAL;;53130;48.0654886;-0.7738029;;;02 43 49 22 00;02.43.56.78.65;;https://www.hotel-lepetitperier.fr/;;"Facebook||https://www.facebook.com/H%C3%B4tel-Le-Petit-Perier-101048109233085;Instagram||https://www.instagram.com/accounts/login/?next=/hotellepetitperier/;||https://www.linkedin.com/company/h%C3%B4tel-le-petit-perier/about/";;;"Local vélo;WiFi";;;;;;oui;supplément de 30€ par animal / par nuit;non;;33;;2;oui;"Allemand;Anglais;Espagnol";oui;oui;oui;;;;;"Chambre single||85,00||||;Chambre double||95,00||||;Suite||250,00||||";"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";48.0654886,-0.7738029;Mayenne
LA MASCOTTE;3 étoiles;Hôtel - Restaurant;;;26 avenue Marie Louise;;44500;LA BAULE-ESCOUBLAC;;44055;47.28216;-2.40648;;;02 40 60 26 55;02 40 60 15 67;;https://www.la-mascotte.fr;;;;;"Garage privé;Restaurant;WiFi";;;;;;;;;;24;;;oui;"Anglais;Espagnol;Russe";oui;oui;;01/01/2021||31/12/2021||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28216,-2.40648;Loire-Atlantique
LE SUD BRETAGNE ****;4 étoiles;Hôtel - Restaurant;;;42 boulevard de la République;;44380;PORNICHET;;44132;47.26015;-2.3369;;;02 40 11 65 00;02 40 61 73 70;;http://www.hotelsudbretagne.fr;;;;;"Parking privé;Restaurant;WiFi";;;;;;oui;;;;30;;;oui;"Anglais;Espagnol";oui;oui;;07/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.26015,-2.3369;Loire-Atlantique
HÔTEL DE LA POSTE;2 étoiles;Hôtel - Restaurant;;;26 rue de la Plage;;44420;PIRIAC-SUR-MER;;44125;47.37937;-2.54653;;;02 40 23 50 90;;;http://www.hotel-restaurantdelaposte.com;;;;;"Restaurant;WiFi";;;;;;oui;;;;11;;;oui;"Allemand;Anglais";;oui;;10/02/2022||12/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||70,00||85,00||;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.37937,-2.54653;Loire-Atlantique
LE DANICHEFF *;1 étoile;Hôtel;;;45 avenue du Général De Gaulle;;44380;PORNICHET;;44132;47.26753;-2.34167;;;02 40 61 07 32;02 40 61 62 93;;;;;;;WiFi;;;;;;oui;;;;9;;;oui;Anglais;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.26753,-2.34167;Loire-Atlantique
HOTEL-RESTAURANT Ô PRESTIGE;;Hôtel - Restaurant;;;4, rue du cygne;Baugé;49150;BAUGE-EN-ANJOU;;49018;47.5421621;-0.1042812;;;02 41 89 82 12;02 41 89 06 07;;http://www.oprestige.com;https://www.youtube.com/watch?v=u6Vn2I1kXBw;Tripadvisor||;"<iframe width=""900"" height=""506"" src=""https://www.youtube.com/embed/u6Vn2I1kXBw?list=PLla1LKX3QasyoL0gvJRzPupZ9Jp3xOe8w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer;autoplay;clipboard-write;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;"Garage privé;Restaurant;WiFi";"Qualité Tourisme;Tables et Auberges de France - Auberges de Village";Logis;;"Table distinguée;Hôtel Cosy";;oui;accueil spécifique sur réservation +4€;non;;10;2;;oui;Anglais;;non;oui;01/01/2022||31/12/2022||||fermé le lundi. Fermé du 1er au 17/01, du 1er au 9/05, du 15 au 29/08||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||70,00||120,00||;"Cartes bancaires;Chèques bancaires et postaux";47.5421621,-0.1042812;Maine-et-Loire
ADONIS RÉSIDENCE LA BAULE;3 étoiles;Hôtel;;;53 avenue du Maréchal Franchet d'Esperey;Le Domaine de Pavie;44500;LA BAULE-ESCOUBLAC;;44055;47.28643;-2.40349;;;02 40 11 72 72;02 40 53 20 85;;https://www.adonis-residence-labaule.fr;;;;;"Parking privé;Piscine;WiFi";;;;;;oui;;;;86;;;oui;"Anglais;Espagnol";oui;;;01/07/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.28643,-2.40349;Loire-Atlantique
LA VILLA CAROLINE;3 étoiles;Hôtel - Restaurant;;;46 avenue des Lilas;;44500;LA BAULE-ESCOUBLAC;;44055;47.27741;-2.42044;;;02 40 11 54 54;02 40 60 67 95;;https://www.vacancesbleues.fr/fr/la-baule/hotel-villa-caroline;;;;;"Parking privé;Restaurant;WiFi";;;;;;oui;;;;69;;;oui;"Allemand;Anglais;Espagnol";oui;oui;;19/03/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.27741,-2.42044;Loire-Atlantique
